"SQLInstance"|"dbName"|"partition_id"|"object_id"|"index_id"|"partition_number"|"hobt_id"|"rows"|"filestream_filegroup_id"|"data_compression"|"data_compression_desc"|"xml_compression"|"xml_compression_desc"
"EC2AMAZ-2A4D56D"|"sampledb"|"281474980642816"|"60"|"1"|"1"|"281474980642816"|"197"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474980773888"|"62"|"1"|"1"|"281474980773888"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474980839424"|"63"|"1"|"1"|"281474980839424"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474980904960"|"64"|"1"|"1"|"281474980904960"|"18"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474980970496"|"65"|"1"|"1"|"281474980970496"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474981101568"|"67"|"1"|"1"|"281474981101568"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474981167104"|"68"|"1"|"1"|"281474981167104"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474981232640"|"69"|"1"|"1"|"281474981232640"|"1"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474981363712"|"71"|"1"|"1"|"281474981363712"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474981429248"|"72"|"1"|"1"|"281474981429248"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474981494784"|"73"|"1"|"1"|"281474981494784"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474981560320"|"74"|"1"|"1"|"281474981560320"|"180"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474981625856"|"75"|"1"|"1"|"281474981625856"|"108"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474981822464"|"78"|"1"|"1"|"281474981822464"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474981888000"|"79"|"1"|"1"|"281474981888000"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474981953536"|"80"|"1"|"1"|"281474981953536"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474982084608"|"82"|"1"|"1"|"281474982084608"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474982215680"|"84"|"1"|"1"|"281474982215680"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474982281216"|"85"|"1"|"1"|"281474982281216"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474982346752"|"86"|"1"|"1"|"281474982346752"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474982412288"|"87"|"1"|"1"|"281474982412288"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474982543360"|"89"|"1"|"1"|"281474982543360"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474982608896"|"90"|"1"|"1"|"281474982608896"|"98"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474982674432"|"91"|"1"|"1"|"281474982674432"|"100"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474982739968"|"92"|"1"|"1"|"281474982739968"|"112"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474982805504"|"93"|"1"|"1"|"281474982805504"|"19"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474982871040"|"94"|"1"|"1"|"281474982871040"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474982936576"|"95"|"1"|"1"|"281474982936576"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474983002112"|"96"|"1"|"1"|"281474983002112"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474983067648"|"97"|"1"|"1"|"281474983067648"|"3"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474983133184"|"98"|"1"|"1"|"281474983133184"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949953880064"|"7"|"2"|"1"|"562949953880064"|"193"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949954535424"|"17"|"2"|"1"|"562949954535424"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949954600960"|"18"|"2"|"1"|"562949954600960"|"0"|"0"|"0"|"NONE"|""|""
