"SQLInstance"|"dbName"|"name"|"object_id"|"principal_id"|"schema_id"|"parent_object_id"|"type"|"type_desc"|"create_date"|"modify_date"|"is_ms_shipped"|"is_published"|"is_schema_published"
"EC2AMAZ-2A4D56D"|"sampledb"|"sysiscols"|"55"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"4/13/2009 12:59:11 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"sysendpts"|"56"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"9/24/2019 2:19:54 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"syswebmethods"|"57"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"9/24/2019 2:19:54 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"sysbinobjs"|"58"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"4/13/2009 12:59:12 PM"|"4/13/2009 12:59:12 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"sysaudacts"|"59"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"9/24/2019 2:19:54 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"sysobjvalues"|"60"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"4/13/2009 12:59:11 PM"|"4/13/2009 12:59:11 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"syscscolsegments"|"62"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"9/24/2019 2:19:54 PM"|"9/24/2019 2:19:55 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"syscsdictionaries"|"63"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"9/24/2019 2:19:54 PM"|"9/24/2019 2:19:55 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"sysclsobjs"|"64"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"4/13/2009 12:59:11 PM"|"4/13/2009 12:59:11 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"sysrowsetrefs"|"65"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"4/13/2009 12:59:11 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"sysremsvcbinds"|"67"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"4/13/2009 12:59:12 PM"|"4/13/2009 12:59:12 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"sysxmitqueue"|"68"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"4/13/2009 12:59:12 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"sysrts"|"69"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"4/13/2009 12:59:12 PM"|"4/13/2009 12:59:12 PM"|"True"|"False"|"False"
