"SQLInstance"|"server_specification_id"|"name"|"create_date"|"modify_date"|"audit_guid"|"is_state_enabled"|"is_session_context_enabled"|"session_context_keys"
"EC2AMAZ-2A4D56D"|"65536"|"RDS_DAS_SERVER_AUDIT_SPEC"|"8/30/2025 8:20:04 PM"|"8/30/2025 8:20:04 PM"|"20250828-1151-4844-7202-508281151484"|"True"|""|""
"EC2AMAZ-2A4D56D"|"65537"|"RDS_DAS_CHANGES_AUDIT_SPEC"|"8/30/2025 8:20:04 PM"|"8/30/2025 8:20:04 PM"|"90568f4a-494a-4b0d-85e5-17641bc7dde3"|"True"|""|""
