"SQLInstance"|"configuration_id"|"name"|"value"|"minimum"|"maximum"|"value_in_use"|"description"|"is_dynamic"|"is_advanced"
"EC2AMAZ-2A4D56D"|"1564"|"ft notify bandwidth (min)"|"0"|"0"|"32767"|"0"|"Number of reserved full-text notifications buffers"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1565"|"ft notify bandwidth (max)"|"100"|"0"|"32767"|"100"|"Max number of full-text notifications buffers"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1566"|"ft crawl bandwidth (min)"|"0"|"0"|"32767"|"0"|"Number of reserved full-text crawl buffers"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1567"|"ft crawl bandwidth (max)"|"100"|"0"|"32767"|"100"|"Max number of full-text crawl buffers"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1568"|"default trace enabled"|"1"|"0"|"1"|"1"|"Enable or disable the default trace"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1569"|"blocked process threshold (s)"|"0"|"0"|"86400"|"0"|"Blocked process reporting threshold"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1570"|"in-doubt xact resolution"|"0"|"0"|"2"|"0"|"Recovery policy for DTC transactions with unknown outcome"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1573"|"user instance timeout"|"60"|"5"|"65535"|"60"|"The timeout of the user instance after no connection is made on the server"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1575"|"user instances enabled"|"1"|"0"|"1"|"1"|"Enable or disable creation of user instances"|"True"|"False"
"EC2AMAZ-2A4D56D"|"1576"|"remote admin connections"|"0"|"0"|"1"|"0"|"Dedicated Admin Connections are allowed from remote clients"|"True"|"False"
"EC2AMAZ-2A4D56D"|"1580"|"filestream access level"|"0"|"0"|"2"|"0"|"Sets the FILESTREAM access level"|"True"|"False"
"EC2AMAZ-2A4D56D"|"1581"|"optimize for ad hoc workloads"|"0"|"0"|"1"|"0"|"When this option is set, plan cache size is further reduced for single-use adhoc OLTP workload."|"True"|"True"
"EC2AMAZ-2A4D56D"|"1582"|"access check cache bucket count"|"0"|"0"|"65536"|"0"|"Default hash bucket count for the access check result security cache"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1583"|"access check cache quota"|"0"|"0"|"2147483647"|"0"|"Default quota for the access check result security cache"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1584"|"backup checksum default"|"0"|"0"|"1"|"0"|"Enable checksum of backups by default"|"True"|"False"
"EC2AMAZ-2A4D56D"|"1585"|"automatic soft-NUMA disabled"|"0"|"0"|"1"|"0"|"Automatic soft-NUMA is enabled by default"|"False"|"True"
"EC2AMAZ-2A4D56D"|"1586"|"external scripts enabled"|"0"|"0"|"1"|"0"|"Allows execution of external scripts"|"True"|"False"
"EC2AMAZ-2A4D56D"|"1587"|"clr strict security"|"1"|"0"|"1"|"1"|"CLR strict security enabled in the server"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1588"|"column encryption enclave type"|"0"|"0"|"2"|"0"|"Type of enclave used for computations on encrypted columns"|"False"|"False"
"EC2AMAZ-2A4D56D"|"1591"|"ADR cleaner retry timeout (min)"|"0"|"0"|"32767"|"0"|"ADR cleaner retry timeout."|"True"|"True"
"EC2AMAZ-2A4D56D"|"1592"|"ADR Preallocation Factor"|"0"|"0"|"32767"|"0"|"ADR Preallocation Factor."|"True"|"True"
"EC2AMAZ-2A4D56D"|"1593"|"version high part of SQL Server"|"0"|"-2147483648"|"2147483647"|"0"|"version high part of SQL Server that model database copied for"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1594"|"version low part of SQL Server"|"0"|"-2147483648"|"2147483647"|"0"|"version low part of SQL Server that model database copied for"|"True"|"True"
"EC2AMAZ-2A4D56D"|"1609"|"max RPC request params (KB)"|"0"|"0"|"2147483647"|"0"|"Maximum memory for RPC request parameters (kBytes)"|"True"|"True"
"EC2AMAZ-2A4D56D"|"16384"|"Agent XPs"|"1"|"0"|"1"|"1"|"Enable or disable Agent XPs"|"True"|"True"
"EC2AMAZ-2A4D56D"|"16386"|"Database Mail XPs"|"0"|"0"|"1"|"0"|"Enable or disable Database Mail XPs"|"True"|"True"
"EC2AMAZ-2A4D56D"|"16387"|"SMO and DMO XPs"|"1"|"0"|"1"|"1"|"Enable or disable SMO and DMO XPs"|"True"|"True"
"EC2AMAZ-2A4D56D"|"16388"|"Ole Automation Procedures"|"0"|"0"|"1"|"0"|"Enable or disable Ole Automation Procedures"|"True"|"True"
"EC2AMAZ-2A4D56D"|"16390"|"xp_cmdshell"|"0"|"0"|"1"|"0"|"Enable or disable command shell"|"True"|"True"
"EC2AMAZ-2A4D56D"|"16391"|"Ad Hoc Distributed Queries"|"0"|"0"|"1"|"0"|"Enable or disable Ad Hoc Distributed Queries"|"True"|"True"
"EC2AMAZ-2A4D56D"|"16392"|"Replication XPs"|"0"|"0"|"1"|"0"|"Enable or disable Replication XPs"|"True"|"True"
"EC2AMAZ-2A4D56D"|"16393"|"contained database authentication"|"0"|"0"|"1"|"0"|"Enables contained databases and contained authentication"|"True"|"False"
"EC2AMAZ-2A4D56D"|"16394"|"hadoop connectivity"|"0"|"0"|"8"|"0"|"Configure SQL Server to connect to external Hadoop or Microsoft Azure storage blob data sources through PolyBase"|"False"|"False"
"EC2AMAZ-2A4D56D"|"16395"|"polybase network encryption"|"0"|"0"|"1"|"0"|"Configure SQL Server to encrypt control and data channels when using PolyBase"|"True"|"False"
"EC2AMAZ-2A4D56D"|"16396"|"remote data archive"|"0"|"0"|"1"|"0"|"Allow the use of the REMOTE_DATA_ARCHIVE data access for databases"|"True"|"False"
"EC2AMAZ-2A4D56D"|"16397"|"allow polybase export"|"0"|"0"|"1"|"0"|"Allow INSERT into a Hadoop external table"|"True"|"False"
"EC2AMAZ-2A4D56D"|"16398"|"allow filesystem enumeration"|"0"|"0"|"1"|"0"|"Allow enumeration of filesystem"|"True"|"True"
"EC2AMAZ-2A4D56D"|"16399"|"polybase enabled"|"0"|"0"|"1"|"0"|"Configure SQL Server to connect to external data sources through PolyBase"|"True"|"False"
