"SQLInstance"|"object_name"|"counter_name"|"instance_name"|"cntr_value"|"cntr_type"
"EC2AMAZ-2A4D56D"|"SQLServer:Buffer Manager                                                                                                        "|"Extension free pages                                                                                                            "|"                                                                                                                                "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Buffer Manager                                                                                                        "|"Extension in use as percentage                                                                                                  "|"                                                                                                                                "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Buffer Manager                                                                                                        "|"Extension page unreferenced time                                                                                                "|"                                                                                                                                "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Buffer Node                                                                                                           "|"Database pages                                                                                                                  "|"000                                                                                                                             "|"2"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Buffer Node                                                                                                           "|"Page life expectancy                                                                                                            "|"000                                                                                                                             "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Buffer Node                                                                                                           "|"Local node page lookups/sec                                                                                                     "|"000                                                                                                                             "|"41946123356833602"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Buffer Node                                                                                                           "|"Remote node page lookups/sec                                                                                                    "|"000                                                                                                                             "|"-41946123356833602"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:General Statistics                                                                                                    "|"Active Temp Tables                                                                                                              "|"                                                                                                                                "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:General Statistics                                                                                                    "|"Temp Tables Creation Rate                                                                                                       "|"                                                                                                                                "|"286"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:General Statistics                                                                                                    "|"Logins/sec                                                                                                                      "|"                                                                                                                                "|"31"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:General Statistics                                                                                                    "|"Connection Reset/sec                                                                                                            "|"                                                                                                                                "|"90165"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:General Statistics                                                                                                    "|"Logouts/sec                                                                                                                     "|"                                                                                                                                "|"13"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:General Statistics                                                                                                    "|"User Connections                                                                                                                "|"                                                                                                                                "|"18"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:General Statistics                                                                                                    "|"Logical Connections                                                                                                             "|"                                                                                                                                "|"18"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:General Statistics                                                                                                    "|"Transactions                                                                                                                    "|"                                                                                                                                "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:General Statistics                                                                                                    "|"Non-atomic yield rate                                                                                                           "|"                                                                                                                                "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:General Statistics                                                                                                    "|"Mars Deadlocks                                                                                                                  "|"                                                                                                                                "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:General Statistics                                                                                                    "|"HTTP Authenticated Requests                                                                                                     "|"                                                                                                                                "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:General Statistics                                                                                                    "|"SOAP Empty Requests                                                                                                             "|"                                                                                                                                "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:General Statistics                                                                                                    "|"SOAP SQL Requests                                                                                                               "|"                                                                                                                                "|"0"|"272696576"
