"SQLInstance"|"object_name"|"counter_name"|"instance_name"|"cntr_value"|"cntr_type"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"XTP Memory Used (KB)                                                                                                            "|"mssqlsystemresource                                                                                                             "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"XTP Controller Log Processed/sec                                                                                                "|"mssqlsystemresource                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"XTP Controller DLC Latency/Fetch                                                                                                "|"mssqlsystemresource                                                                                                             "|"0"|"1073874176"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"XTP Controller DLC Latency Base                                                                                                 "|"mssqlsystemresource                                                                                                             "|"0"|"1073939712"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"XTP Controller DLC Peak Latency                                                                                                 "|"mssqlsystemresource                                                                                                             "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Active Transactions                                                                                                             "|"mssqlsystemresource                                                                                                             "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Transactions/sec                                                                                                                "|"mssqlsystemresource                                                                                                             "|"25"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Repl. Pending Xacts                                                                                                             "|"mssqlsystemresource                                                                                                             "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Repl. Trans. Rate                                                                                                               "|"mssqlsystemresource                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Cache Reads/sec                                                                                                             "|"mssqlsystemresource                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Cache Hit Ratio                                                                                                             "|"mssqlsystemresource                                                                                                             "|"0"|"537003264"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Cache Hit Ratio Base                                                                                                        "|"mssqlsystemresource                                                                                                             "|"0"|"1073939712"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool Requests/sec                                                                                                           "|"mssqlsystemresource                                                                                                             "|"8"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool Requests Old VLF/sec                                                                                                   "|"mssqlsystemresource                                                                                                             "|"4"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Avg Dist From EOL/LP Request                                                                                                    "|"mssqlsystemresource                                                                                                             "|"45056"|"1073874176"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool Requests Base                                                                                                          "|"mssqlsystemresource                                                                                                             "|"4"|"1073939712"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool Cache Misses/sec                                                                                                       "|"mssqlsystemresource                                                                                                             "|"4"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool Req. Behind Trunc/sec                                                                                                  "|"mssqlsystemresource                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool Push Empty FreePool/sec                                                                                                "|"mssqlsystemresource                                                                                                             "|"2"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool Push Low Memory/sec                                                                                                    "|"mssqlsystemresource                                                                                                             "|"2"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool Push No Free Buffer/sec                                                                                                "|"mssqlsystemresource                                                                                                             "|"2"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool LogWriter Pushes/sec                                                                                                   "|"mssqlsystemresource                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool Log Scan Pushes/sec                                                                                                    "|"mssqlsystemresource                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool Hash Inserts/sec                                                                                                       "|"mssqlsystemresource                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool Hash Deletes/sec                                                                                                       "|"mssqlsystemresource                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool Invalid Hash Entry/sec                                                                                                 "|"mssqlsystemresource                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool Disk Reads/sec                                                                                                         "|"mssqlsystemresource                                                                                                             "|"3"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool Total Active Log Size                                                                                                  "|"mssqlsystemresource                                                                                                             "|"245760"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool Total Shared Pool Size                                                                                                 "|"mssqlsystemresource                                                                                                             "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Bulk Copy Rows/sec                                                                                                              "|"mssqlsystemresource                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Bulk Copy Throughput/sec                                                                                                        "|"mssqlsystemresource                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Backup/Restore Throughput/sec                                                                                                   "|"mssqlsystemresource                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"DBCC Logical Scan Bytes/sec                                                                                                     "|"mssqlsystemresource                                                                                                             "|"37183488"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Shrink Data Movement Bytes/sec                                                                                                  "|"mssqlsystemresource                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Flushes/sec                                                                                                                 "|"mssqlsystemresource                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Bytes Flushed/sec                                                                                                           "|"mssqlsystemresource                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Flush Waits/sec                                                                                                             "|"mssqlsystemresource                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Flush Wait Time                                                                                                             "|"mssqlsystemresource                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Group Commit Time/sec                                                                                                           "|"mssqlsystemresource                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Flush Write Time (ms)                                                                                                       "|"mssqlsystemresource                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Truncations                                                                                                                 "|"mssqlsystemresource                                                                                                             "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Growths                                                                                                                     "|"mssqlsystemresource                                                                                                             "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Shrinks                                                                                                                     "|"mssqlsystemresource                                                                                                             "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Tracked transactions/sec                                                                                                        "|"mssqlsystemresource                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Write Transactions/sec                                                                                                          "|"mssqlsystemresource                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Commit table entries                                                                                                            "|"mssqlsystemresource                                                                                                             "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"PVS off-row record generated/sec                                                                                                "|"mssqlsystemresource                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"PVS off-row record retrieved/sec                                                                                                "|"mssqlsystemresource                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"PVS off-row pages allocated/sec                                                                                                 "|"mssqlsystemresource                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"PVS off-row pages deleted/sec                                                                                                   "|"mssqlsystemresource                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"PVS in-row diff generated/sec                                                                                                   "|"mssqlsystemresource                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"PVS in-row diff retrieved/sec                                                                                                   "|"mssqlsystemresource                                                                                                             "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"WPR add lsn bucket miss                                                                                                         "|"mssqlsystemresource                                                                                                             "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"WPR stale check bucket miss                                                                                                     "|"mssqlsystemresource                                                                                                             "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"WPR bucket swaps                                                                                                                "|"mssqlsystemresource                                                                                                             "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Data File(s) Size (KB)                                                                                                          "|"_Total                                                                                                                          "|"94912"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log File(s) Size (KB)                                                                                                           "|"_Total                                                                                                                          "|"60424"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Active parallel redo threads                                                                                                    "|"_Total                                                                                                                          "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log File(s) Used Size (KB)                                                                                                      "|"_Total                                                                                                                          "|"5926"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Percent Log Used                                                                                                                "|"_Total                                                                                                                          "|"9"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"XTP Memory Used (KB)                                                                                                            "|"_Total                                                                                                                          "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"XTP Controller Log Processed/sec                                                                                                "|"_Total                                                                                                                          "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"XTP Controller DLC Latency/Fetch                                                                                                "|"_Total                                                                                                                          "|"0"|"1073874176"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"XTP Controller DLC Latency Base                                                                                                 "|"_Total                                                                                                                          "|"0"|"1073939712"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"XTP Controller DLC Peak Latency                                                                                                 "|"_Total                                                                                                                          "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Active Transactions                                                                                                             "|"_Total                                                                                                                          "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Transactions/sec                                                                                                                "|"_Total                                                                                                                          "|"64451"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Repl. Pending Xacts                                                                                                             "|"_Total                                                                                                                          "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Repl. Trans. Rate                                                                                                               "|"_Total                                                                                                                          "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Cache Reads/sec                                                                                                             "|"_Total                                                                                                                          "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Cache Hit Ratio                                                                                                             "|"_Total                                                                                                                          "|"0"|"537003264"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Cache Hit Ratio Base                                                                                                        "|"_Total                                                                                                                          "|"0"|"1073939712"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool Requests/sec                                                                                                           "|"_Total                                                                                                                          "|"80"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool Requests Old VLF/sec                                                                                                   "|"_Total                                                                                                                          "|"28"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Avg Dist From EOL/LP Request                                                                                                    "|"_Total                                                                                                                          "|"273408"|"1073874176"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool Requests Base                                                                                                          "|"_Total                                                                                                                          "|"52"|"1073939712"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool Cache Misses/sec                                                                                                       "|"_Total                                                                                                                          "|"40"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool Req. Behind Trunc/sec                                                                                                  "|"_Total                                                                                                                          "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool Push Empty FreePool/sec                                                                                                "|"_Total                                                                                                                          "|"24"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool Push Low Memory/sec                                                                                                    "|"_Total                                                                                                                          "|"24"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool Push No Free Buffer/sec                                                                                                "|"_Total                                                                                                                          "|"24"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool LogWriter Pushes/sec                                                                                                   "|"_Total                                                                                                                          "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool Log Scan Pushes/sec                                                                                                    "|"_Total                                                                                                                          "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool Hash Inserts/sec                                                                                                       "|"_Total                                                                                                                          "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool Hash Deletes/sec                                                                                                       "|"_Total                                                                                                                          "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool Invalid Hash Entry/sec                                                                                                 "|"_Total                                                                                                                          "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool Disk Reads/sec                                                                                                         "|"_Total                                                                                                                          "|"32"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool Total Active Log Size                                                                                                  "|"_Total                                                                                                                          "|"8107520"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Pool Total Shared Pool Size                                                                                                 "|"_Total                                                                                                                          "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Bulk Copy Rows/sec                                                                                                              "|"_Total                                                                                                                          "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Bulk Copy Throughput/sec                                                                                                        "|"_Total                                                                                                                          "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Backup/Restore Throughput/sec                                                                                                   "|"_Total                                                                                                                          "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"DBCC Logical Scan Bytes/sec                                                                                                     "|"_Total                                                                                                                          "|"76341248"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Shrink Data Movement Bytes/sec                                                                                                  "|"_Total                                                                                                                          "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Flushes/sec                                                                                                                 "|"_Total                                                                                                                          "|"318"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Bytes Flushed/sec                                                                                                           "|"_Total                                                                                                                          "|"4762624"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Flush Waits/sec                                                                                                             "|"_Total                                                                                                                          "|"240"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Flush Wait Time                                                                                                             "|"_Total                                                                                                                          "|"588"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Group Commit Time/sec                                                                                                           "|"_Total                                                                                                                          "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Flush Write Time (ms)                                                                                                       "|"_Total                                                                                                                          "|"369"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Truncations                                                                                                                 "|"_Total                                                                                                                          "|"6"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Growths                                                                                                                     "|"_Total                                                                                                                          "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Log Shrinks                                                                                                                     "|"_Total                                                                                                                          "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Tracked transactions/sec                                                                                                        "|"_Total                                                                                                                          "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Write Transactions/sec                                                                                                          "|"_Total                                                                                                                          "|"1684"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Databases                                                                                                             "|"Commit table entries                                                                                                            "|"_Total                                                                                                                          "|"0"|"65792"
