"InstanceId"|"VolumeId"|"TimeStamp"|"Metric"|"AvgValue"|"MaxValue"|"SumValue"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 10:05:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 16:05:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 16:40:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 17:15:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 17:50:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 12:35:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 13:10:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 13:45:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 14:20:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 14:55:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 15:30:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 10:15:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 11:25:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 17:40:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 14:10:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 15:20:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 16:30:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 10:40:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 15:05:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 11:50:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 16:15:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 13:00:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 17:25:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 11:35:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 12:10:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 13:55:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 15:45:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 16:20:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 13:25:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 14:00:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 17:35:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 11:05:00"|"VolumeReadOps"|"0"|"0"|"0"
"i-034419e3c67ca1103"|"vol-0532ee40b15815d2f"|"08/13/2025 11:40:00"|"VolumeReadOps"|"0"|"0"|"0"
