"SQLInstance"|"TraceFlag"|"Status"|"Global"|"Session"
"EC2AMAZ-KU3O7DJ"|"3226"|"1"|"1"|"0"
"EC2AMAZ-KU3O7DJ"|"7806"|"1"|"1"|"0"
"EC2AMAZ-KU3O7DJ"|"8017"|"1"|"1"|"0"
