"SQLInstance"|"audit_id"|"name"|"audit_guid"|"create_date"|"modify_date"|"principal_id"|"type"|"type_desc"|"on_failure"|"on_failure_desc"|"is_state_enabled"|"queue_delay"|"predicate"|"is_operator_audit"
"EC2AMAZ-KU3O7DJ"|"65536"|"RDS_DAS_AUDIT"|"20250828-1151-4844-7202-508281151484"|"8/31/2025 4:12:55 PM"|"8/31/2025 4:12:55 PM"|"1"|"FL"|"FILE"|"0"|"CONTINUE"|"False"|"1000"|"([server_principal_name]<>'NT AUTHORITY\SYSTEM' AND [database_name]<>'rdsadmin' AND [server_principal_name]<>'rdssec' AND [server_principal_name]<>'rdsproxyadmin')"|""
"EC2AMAZ-KU3O7DJ"|"65537"|"RDS_DAS_CHANGES"|"a06e929b-94c9-4527-bd7a-55521ceac2b1"|"8/31/2025 4:12:55 PM"|"8/31/2025 4:12:55 PM"|"1"|"FL"|"FILE"|"0"|"CONTINUE"|"False"|"1000"|"([object_name] like 'RDS_DAS_%')"|""
