"SQLInstance"|"name"
"EC2AMAZ-KU3O7DJ"|"master"
"EC2AMAZ-KU3O7DJ"|"mastlog"
"EC2AMAZ-KU3O7DJ"|"tempdev"
"EC2AMAZ-KU3O7DJ"|"templog"
"EC2AMAZ-KU3O7DJ"|"modeldev"
"EC2AMAZ-KU3O7DJ"|"modellog"
"EC2AMAZ-KU3O7DJ"|"MSDBData"
"EC2AMAZ-KU3O7DJ"|"MSDBLog"
"EC2AMAZ-KU3O7DJ"|"rdsadmin"
"EC2AMAZ-KU3O7DJ"|"rdsadmin_log"
